danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,popularity,track_name,artist_name
0.729,0.745,10,-7.725,0.426,0.0874,0.0,0.113,0.58,90.573,4.08,1,Where I'm from (feat. Jp Popavixh),Mack Biggers
0.393,0.934,10,-3.697,0.377,0.0871,0.0,0.467,0.685,91.027,3.34,0,Big Dawgs Big Dawg,Mack Biggers
0.526,0.779,1,-7.196,0.424,0.0467,0.0,0.119,0.691,107.18,3.4,0,Not a Rapper,Mack Biggers
0.803,0.46,10,-10.507,0.281,0.15,0.0,0.176,0.367,105.98,3.94,2,Run It (feat. 30 Wayz),Mack Biggers
0.411,0.945,1,-5.154,0.32,0.254,1.35e-05,0.178,0.681,69.636,3.26,1,Pullup n Show (feat. Trae tha Truth),Mack Biggers
0.485,0.793,2,-6.329,0.488,0.208,0.0,0.459,0.522,80.477,2.81,0,Return of the Real (feat. Delorean),Mack Biggers
0.598,0.83,10,-7.81,0.168,0.0147,0.0,0.0793,0.306,89.939,3.75,0,Slimey (feat. Trae tha Truth & Mozzy),Mack Biggers
0.588,0.814,0,-7.409,0.238,0.248,3.42e-05,0.115,0.421,126.646,3.24,0,Omni (Bonus) [feat. Trae tha Truth & 30 Wayz],Mack Biggers
0.802,0.944,4,-4.726,0.0761,0.0315,0.904,0.0306,0.243,120.05,2.89,2,Awake,JBT 45
0.462,0.937,1,-1.396,0.205,0.0238,0.954,0.376,0.373,130.05,3.71,2,Bad Morning,JBT 45
0.506,0.955,7,-3.923,0.117,0.00676,0.555,0.617,0.141,131.432,3.13,1,Sci Fi World,JBT 45
0.435,0.703,0,-3.777,0.256,0.201,0.578,0.302,0.399,128.179,3.22,1,Lucid Dream,JBT 45
0.833,0.615,4,-6.507,0.0353,0.137,0.898,0.0936,0.968,80.002,1.03,1,Perpetual Burn Kiss,JBT 45
0.685,0.961,10,-4.181,0.192,0.771,0.944,0.105,0.136,130.056,0.76,1,Outro,JBT 45
0.624,0.941,2,-8.514,0.0646,0.00403,0.000154,0.369,0.582,157.011,3.09,2,The Lord Is Able,Dr. Charles G. Hayes
0.494,0.441,3,-11.634,0.0389,0.513,0.0,0.317,0.319,130.003,5.85,0,Oh Give Thanks,Dr. Charles G. Hayes
0.731,0.778,1,-8.33,0.0524,0.151,0.0,0.139,0.685,101.557,4.33,0,Use Me,Dr. Charles G. Hayes
0.657,0.4,8,-11.824,0.0387,0.0606,0.000585,0.062,0.371,142.899,5.08,0,God Will Supply,Dr. Charles G. Hayes
