year,track_name,track_popularity,album,artist_name,artist_genres,main_genre,artist_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min
2014,Night Changes,88,FOUR (Deluxe),One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",pop,84,0.672,0.52,8,-7.747,0.0353,0.859,0.0,0.115,0.37,120.001,3.78
2014,Counting Stars,88,Native,OneRepublic,"['piano rock', 'pop']",rock,83,0.664,0.705,1,-4.972,0.0382,0.0654,0.0,0.118,0.477,122.016,4.29
2017,Say You Won't Let Go,88,Back from the Edge,James Arthur,"['pop', 'talent show', 'uk pop']",pop,82,0.358,0.557,10,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,3.52
2017,Something Just Like This,88,Memories...Do Not Open,The Chainsmokers,['pop'],pop,81,0.617,0.635,11,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4.12
2017,goosebumps,88,Birds In The Trap Sing McKnight,Travis Scott,"['hip hop', 'rap', 'slap house']",hip hop,94,0.841,0.728,7,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049,4.06
2017,Believer,88,Evolve,Imagine Dragons,"['modern rock', 'pop', 'rock']",rock,87,0.776,0.78,10,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949,3.41
2018,lovely (with Khalid),88,lovely (with Khalid),Billie Eilish,"['art pop', 'pop']",pop,89,0.351,0.296,4,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,3.34
2019,lovely (with Khalid),88,lovely (with Khalid),Billie Eilish,"['art pop', 'pop']",pop,89,0.351,0.296,4,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,3.34
2020,Watermelon Sugar,88,Fine Line,Harry Styles,['pop'],pop,85,0.548,0.816,0,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,2.9
2021,Heat Waves,88,Dreamland,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",pop,76,0.761,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3.98
2021,Watermelon Sugar,88,Fine Line,Harry Styles,['pop'],pop,85,0.548,0.816,0,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,2.9
2023,I KNOW ?,88,UTOPIA,Travis Scott,"['hip hop', 'rap', 'slap house']",hip hop,94,0.927,0.619,5,-4.441,0.0539,0.0186,0.0,0.104,0.817,117.995,3.53
2023,Dance The Night - From Barbie The Album,88,Dance The Night (From Barbie The Album),Dua Lipa,"['dance pop', 'pop', 'uk pop']",pop,89,0.671,0.845,11,-4.93,0.048,0.0207,0.0,0.329,0.775,110.056,2.94
2023,Nonsense,88,emails i can't send,Sabrina Carpenter,['pop'],pop,82,0.74,0.697,8,-4.912,0.034,0.0268,0.0,0.224,0.732,138.992,2.73
2023,Romantic Homicide,88,Romantic Homicide,d4vd,['bedroom pop'],pop,79,0.571,0.544,6,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052,2.21
2000,The Real Slim Shady,87,The Marshall Mathers LP,Eminem,"['detroit hip hop', 'hip hop', 'rap']",hip hop,90,0.949,0.661,5,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,4.74
2004,Numb,87,Meteora,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",rap,86,0.496,0.863,9,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,3.09
2004,Mr. Brightside,87,Hot Fuss,The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",rock,77,0.352,0.911,1,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,3.72
2005,Mockingbird,87,Encore (Deluxe Version),Eminem,"['detroit hip hop', 'hip hop', 'rap']",hip hop,90,0.637,0.678,0,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,4.18
2006,Hips Don't Lie (feat. Wyclef Jean),87,"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",pop,87,0.778,0.824,10,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,3.63
2008,Viva La Vida,87,Viva La Vida or Death and All His Friends,Coldplay,"['permanent wave', 'pop']",pop,88,0.486,0.617,5,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4.04
2008,Flashing Lights,87,Graduation,Kanye West,"['chicago rap', 'hip hop', 'rap']",rap,94,0.639,0.628,6,-7.578,0.0399,0.0381,0.0,0.386,0.43,90.482,3.96
2013,Why'd You Only Call Me When You're High?,87,AM,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",rock,86,0.691,0.631,2,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,2.69
2013,Do I Wanna Know?,87,AM,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",rock,86,0.548,0.532,5,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03,4.54
2015,The Hills,87,Beauty Behind The Madness,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",r&b,95,0.585,0.564,0,-7.063,0.0515,0.0671,0.0,0.135,0.137,113.003,4.04
2017,Thunder,87,Evolve,Imagine Dragons,"['modern rock', 'pop', 'rock']",rock,87,0.605,0.822,0,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,3.12
